model_key,classifier,best_cv_score,accuracy,balanced_accuracy,precision,recall,f1,precision_macro,recall_macro,f1_macro,roc_auc,pr_auc,mcc,log_loss,elapsed_seconds,n_iter_effective,cv,best_params,artifact_dir
multinomial_nb,MultinomialNB,0.8799536264444865,0.8819,0.8818999999999999,0.8755162241887906,0.8904,0.8828953891918692,0.8820104010058907,0.8818999999999999,0.8818914666584661,0.9511206799999999,0.9487109591655865,0.7639103930282652,0.3043728366511346,72.00919157499447,5,3,"{""classifier__alpha"": 0.1, ""tfidf__max_df"": 0.9, ""tfidf__max_features"": 30000, ""tfidf__min_df"": 3, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",outputs/searches/randomized_search_cv_required_n5_cv3/multinomial_nb
complement_nb,ComplementNB,0.8799536264444865,0.8819,0.8818999999999999,0.8755162241887906,0.8904,0.8828953891918692,0.8820104010058907,0.8818999999999999,0.8818914666584661,0.9511206799999999,0.9487109591655865,0.7639103930282652,0.30437283665113457,71.32922165800119,5,3,"{""classifier__alpha"": 0.1, ""tfidf__max_df"": 0.9, ""tfidf__max_features"": 30000, ""tfidf__min_df"": 3, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",outputs/searches/randomized_search_cv_required_n5_cv3/complement_nb
logistic_regression,LogisticRegression,0.8945511960156707,0.9029,0.9029,0.898201225538644,0.9088,0.9034695297743315,0.9029561076084234,0.9029,0.9028966198313364,0.96549288,0.9650546115843235,0.8058561056551815,0.2715958556548585,66.33777735201875,5,3,"{""classifier__C"": 1.0, ""tfidf__max_df"": 0.9, ""tfidf__max_features"": 30000, ""tfidf__min_df"": 5, ""tfidf__ngram_range"": [1, 1], ""tfidf__sublinear_tf"": true}",outputs/searches/randomized_search_cv_required_n5_cv3/logistic_regression
linear_svc,LinearSVC,0.9080574604382264,0.9168,0.9168000000000001,0.9131641554321966,0.9212,0.9171644763042612,0.9168322794917239,0.9168000000000001,0.9167983892168152,0.9728078799999998,0.9717241216152049,0.8336322788667687,,73.19410831003916,5,3,"{""classifier__C"": 0.3, ""tfidf__max_df"": 0.9, ""tfidf__max_features"": 30000, ""tfidf__min_df"": 3, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",outputs/searches/randomized_search_cv_required_n5_cv3/linear_svc
sgd_classifier,SGDClassifier,0.8946211831036908,0.8975,0.8975,0.8879562756197541,0.9098,0.8987454311962857,0.8977406967600514,0.8975,0.8974844904285569,0.9631897999999999,0.9626218718276319,0.7952406603340159,0.37444836870612963,117.64116715901764,5,3,"{""classifier__alpha"": 0.001, ""classifier__loss"": ""modified_huber"", ""classifier__penalty"": ""l2"", ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 50000, ""tfidf__min_df"": 5, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",outputs/searches/randomized_search_cv_required_n5_cv3/sgd_classifier
passive_aggressive,PassiveAggressiveClassifier,0.8986130438364768,0.9054,0.9054,0.905724579663731,0.905,0.9053621448579432,0.9054002594561661,0.9054,0.9053999848639975,0.96556216,0.9636695124752862,0.8108002594561246,,105.07149269501679,5,3,"{""classifier__C"": 2.0, ""classifier__loss"": ""hinge"", ""tfidf__max_df"": 0.9, ""tfidf__max_features"": 50000, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": false}",outputs/searches/randomized_search_cv_required_n5_cv3/passive_aggressive
random_forest,RandomForestClassifier,0.8665593659286395,0.8743,0.8743000000000001,0.861502800849913,0.892,0.876486194359831,0.8747696463299949,0.8743000000000001,0.8742606071056,0.9463140000000001,0.9439716437118233,0.7490694991022316,0.5558143526381473,259.89022771903547,5,3,"{""classifier__criterion"": ""gini"", ""classifier__max_depth"": 120, ""classifier__max_features"": ""log2"", ""classifier__min_samples_leaf"": 2, ""classifier__n_estimators"": 200, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 30000, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",outputs/searches/randomized_search_cv_required_n5_cv3/random_forest
extra_trees,ExtraTreesClassifier,0.8761834780309735,0.8745,0.8745,0.856598743096553,0.8996,0.8775729197151497,0.8754461392888535,0.8745,0.8744208839010665,0.9493642800000001,0.9473889711983824,0.7499455424593859,0.5943544579227462,284.6560610870365,5,3,"{""classifier__criterion"": ""gini"", ""classifier__max_depth"": 120, ""classifier__max_features"": ""log2"", ""classifier__min_samples_leaf"": 2, ""classifier__n_estimators"": 200, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 30000, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",outputs/searches/randomized_search_cv_required_n5_cv3/extra_trees
xgboost_classifier,XGBoostClassifier,0.8426738363640144,0.8412,0.8412,0.8149926144756278,0.8828,0.8475422427035331,0.8435783316706237,0.8412,0.8409247106672924,0.92738324,0.9263176615134034,0.6847742015176004,0.384174790653519,522.353835831047,5,3,"{""classifier__colsample_bytree"": 1.0, ""classifier__learning_rate"": 0.1, ""classifier__max_depth"": 3, ""classifier__n_estimators"": 200, ""classifier__reg_lambda"": 0.5, ""classifier__subsample"": 1.0, ""tfidf__max_df"": 0.9, ""tfidf__max_features"": 50000, ""tfidf__min_df"": 5, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",outputs/searches/randomized_search_cv_required_n5_cv3/xgboost_classifier
lightgbm_classifier,LightGBMClassifier,0.8835567380305184,0.8922,0.8922,0.8884706814580031,0.897,0.8927149681528662,0.8922361484834442,0.8922,0.8921975162307739,0.9607756799999999,0.9597367084117479,0.7844361476505448,0.2607043118035639,443.6962721180171,5,3,"{""classifier__colsample_bytree"": 1.0, ""classifier__learning_rate"": 0.1, ""classifier__min_child_samples"": 20, ""classifier__n_estimators"": 200, ""classifier__num_leaves"": 31, ""classifier__reg_lambda"": 0.5, ""classifier__subsample"": 0.8, ""classifier__subsample_freq"": 1, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 50000, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",outputs/searches/randomized_search_cv_required_n5_cv3/lightgbm_classifier
