model,role,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,log_loss,tn,fp,fn,tp,artifact_dir
MultinomialNB,Required TF-IDF classifier,0.8841,0.8841,0.8808,0.8884,0.8846,0.9531,0.9513,0.7682,0.3135,4399,601,558,4442,outputs/baselines/multinomial_nb
MultinomialNB tuned,RandomizedSearchCV example,0.8854,0.8854,0.8842,0.8870,0.8856,0.9554,0.9537,0.7708,0.2934,4419,581,565,4435,outputs/baselines/multinomial_nb_tuned_n10_cv3
ComplementNB,Required TF-IDF classifier,0.8841,0.8841,0.8808,0.8884,0.8846,0.9531,0.9513,0.7682,0.3135,4399,601,558,4442,outputs/baselines/complement_nb
LogisticRegression,Required TF-IDF classifier,0.9095,0.9095,0.9044,0.9158,0.9101,0.9710,0.9702,0.8191,0.2707,4516,484,421,4579,outputs/baselines/logistic_regression
LinearSVC,Required TF-IDF classifier,0.9150,0.9150,0.9135,0.9168,0.9152,0.9720,0.9708,0.8300,,4566,434,416,4584,outputs/baselines/linear_svc
SGDClassifier,Required TF-IDF classifier,0.9111,0.9111,0.9052,0.9184,0.9117,0.9714,0.9707,0.8223,,4519,481,408,4592,outputs/baselines/sgd_classifier
PassiveAggressiveClassifier,Required TF-IDF classifier,0.9062,0.9062,0.9064,0.9060,0.9062,0.9656,0.9638,0.8124,,4532,468,470,4530,outputs/baselines/passive_aggressive
RandomForestClassifier,Required TF-IDF classifier,0.8633,0.8633,0.8673,0.8578,0.8625,0.9376,0.9299,0.7266,0.4554,4344,656,711,4289,outputs/baselines/random_forest
ExtraTreesClassifier,Required TF-IDF classifier,0.8749,0.8749,0.8820,0.8656,0.8737,0.9466,0.9398,0.7499,0.4342,4421,579,672,4328,outputs/baselines/extra_trees
XGBoostClassifier,Required TF-IDF classifier,0.8509,0.8509,0.8307,0.8814,0.8553,0.9355,0.9337,0.7031,0.3565,4102,898,593,4407,outputs/baselines/xgboost_classifier
LightGBMClassifier,Required TF-IDF classifier,0.8918,0.8918,0.8865,0.8986,0.8925,0.9605,0.9599,0.7837,0.2617,4425,575,507,4493,outputs/baselines/lightgbm_classifier
VotingClassifier soft,Required final ensemble,0.9095,0.9095,0.9036,0.9168,0.9102,0.9707,0.9702,0.8191,0.2654,4511,489,416,4584,outputs/ensemble/voting_classifier
VotingClassifier hard,Required final ensemble,0.9107,0.9107,0.9059,0.9166,0.9112,,,0.8215,,4524,476,417,4583,outputs/ensemble/hard_voting_classifier
StackingClassifier prefit,Required final ensemble alternative,0.9099,0.9099,0.9077,0.9126,0.9101,0.9686,0.9669,0.8198,0.4079,4536,464,437,4563,outputs/ensemble/stacking_classifier_prefit
Tiny Transformer from scratch,Optional extension,0.8943,0.8943,0.8796,0.9136,0.8963,0.9603,0.9592,0.7892,0.2789,4375,625,432,4568,outputs/transformer/tiny_transformer_mlx_vocab10k_mean_warmup_cosine_d24_l4_s512_accum_fp32_full
DistilBERT fine-tuned,Optional extension,0.9369,0.9369,0.9296,0.9454,0.9374,0.9840,0.9831,0.8739,0.1888,4642,358,273,4727,outputs/transformer/distilbert_s512_lr2e5_b32_e3
DeBERTa-v3-small fine-tuned,Optional extension,0.9564,0.9564,0.9521,0.9612,0.9566,0.9895,0.9886,0.9128,0.1561,4758,242,194,4806,outputs/transformer/deberta_v3_small_s512_lr2e5_b16_e3
